ANO,ESTADO,CIDADE,DATA,FERIADO
2022,AC,Rodrigues Alves,12/10/2022,Nossa Senhora Aparecida
2022,AC,Rio Branco,21/04/2022,Dia De Tiradentes
2022,AC,Bujari,18/11/2022,Tratado De Petrópolis
2022,AC,Santa Rosa Do Purus,18/11/2022,Tratado De Petrópolis
2022,AC,Rodrigues Alves,15/10/2022,Dia Do Professor
2022,AC,Rio Branco,01/05/2022,Dia Do Trabalho
2022,AC,Bujari,25/12/2022,Natal
2022,AC,Santa Rosa Do Purus,25/12/2022,Natal
2022,AC,Rodrigues Alves,28/10/2022,Dia Do Servidor Público
2022,AC,Rio Branco,15/06/2022,Aniversário Do Acre
2022,AC,Rodrigues Alves,02/11/2022,Dia De Finados
2022,AC,Rodrigues Alves,15/11/2022,Proclamação Da República
2022,AC,Rio Branco,16/06/2022,Corpus Christi
2022,AC,Rodrigues Alves,18/11/2022,Tratado De Petrópolis
2022,AC,Rio Branco,06/08/2022,Revolução Acreana
2022,AC,Rodrigues Alves,25/12/2022,Natal
